"ASV","treatment","Est","pval","pval.holm","SE","t.val","sampletype","week"
"ASV440","Intercept",-2.95953922231413,0.204009251890496,0.979397100822038,1.73228085085387,-1.73903117345155,"feces","Week 2"
"ASV440","la",-0.0436355610936572,0.53733802990794,1,2.44981507311675,-0.0267929016598916,"feces","Week 2"
"ASV440","lg",1.3619497190115,0.512284285329704,1,2.44981507311675,0.605488940683273,"feces","Week 2"
"ASV442","cdiff",-0.0686632642136525,0.57006155197886,1,2.47225694853844,-0.0235684178020985,"feces","Week 2"
"ASV442","Intercept",-2.93695581452357,0.213748260344271,0.982982712742689,1.7481496531471,-1.69443589056993,"feces","Week 2"
"ASV442","la",-0.0489247275088122,0.54233264797387,1,2.47225694853845,-0.0493139875271874,"feces","Week 2"
"ASV442","lg",1.21600863512606,0.530273270996734,1,2.47225694853845,0.548665537825366,"feces","Week 2"
"ASV443","cdiff",0.0132702728564922,0.541334066639202,1,2.51762163104306,-0.00656923587387525,"feces","Week 2"
"ASV443","Intercept",-3.16848417331908,0.18029005058569,0.991357709376574,1.78022732777249,-1.80407846380052,"feces","Week 2"
"ASV443","la",-0.058029405558917,0.597304214033219,1,2.51762163104306,-0.0279706231888784,"feces","Week 2"
"ASV443","lg",1.52201649399686,0.522158835195776,0.999321856910298,2.51762163104306,0.641433619108735,"feces","Week 2"
"ASV45","cdiff",-8.89005018157208,0.0028037592538442,0.371818597811813,2.10411129364978,-4.43652632506415,"feces","Week 2"
"ASV45","Intercept",8.12960706795587,0.000946431640695348,0.130188831398553,1.48783136411096,5.87059197748746,"feces","Week 2"
"ASV45","la",-11.1621632942786,0.00136101677635181,0.144014958499036,2.10411129364979,-5.6307815318276,"feces","Week 2"
"ASV45","lg",-11.6415307543008,0.000653435147477337,0.125168560419184,2.10411129364979,-5.88040188225756,"feces","Week 2"
"ASV46","cdiff",0.0366417015866851,0.449698468156961,0.999308026108388,1.9241652477746,0.0254036148131974,"feces","Week 2"
"ASV46","Intercept",-3.1847888916909,0.12882397516989,0.880353813442558,1.36059029482491,-2.39973595205532,"feces","Week 2"
"ASV46","la",0.114913699681907,0.425376198887433,1,1.9241652477746,0.0266387468035335,"feces","Week 2"
"ASV46","lg",9.65372163627313,0.0019421891638078,0.210841050966796,1.9241652477746,5.44057048071519,"feces","Week 2"
"ASV460","cdiff",0.120076168127711,0.524814074856954,1,2.38618942299119,0.00660418328487829,"feces","Week 2"
"ASV460","Intercept",-3.19646751862945,0.188883734925327,0.963873657979376,1.68729072219268,-1.91436110331124,"feces","Week 2"
"ASV460","la",1.92465075387664,0.421609141052379,0.992423832140481,2.38618942299119,0.854022295161024,"feces","Week 2"
"ASV460","lg",-0.65922076577285,0.451384823483232,1,2.38618942299119,-0.331775992431793,"feces","Week 2"
"ASV465","cdiff",-0.43412169756537,0.519033391387025,0.996844981553509,2.26838132296848,-0.231597465147581,"feces","Week 2"
"ASV465","Intercept",-2.76705337920858,0.215425440813693,0.973135542727131,1.60398781578793,-1.75522557652871,"feces","Week 2"
"ASV465","la",0.0221310470750306,0.515847811508159,1,2.26838132296849,-0.0243228303599029,"feces","Week 2"
"ASV465","lg",2.00098866452376,0.418072731223389,1,2.26838132296849,0.94373953503175,"feces","Week 2"
"ASV47","cdiff",-0.248345866049739,0.59824930191814,1,2.89123602327615,-0.0813856190151335,"feces","Week 2"
"ASV47","Intercept",-2.67596376018131,0.288755047082103,0.999088024374117,2.04441259806939,-1.34326886346281,"feces","Week 2"
"ASV47","la",-0.351714536230061,0.621821716196953,1,2.89123602327615,-0.106307355387502,"feces","Week 2"
"ASV47","lg",8.56976319155667,0.0289761192013005,0.834342752123241,2.89123602327615,3.09852373900028,"feces","Week 2"
"ASV470","cdiff",-0.311583538888258,0.536023939088402,1,2.36580995323346,-0.129171599376375,"feces","Week 2"
"ASV470","Intercept",-2.64336165240737,0.23405759856864,0.987653533919788,1.67288026093001,-1.60688357422302,"feces","Week 2"
"ASV470","la",-0.326013906036648,0.521261315046683,1,2.36580995323346,-0.174040890053908,"feces","Week 2"
"ASV470","lg",0.898254450483607,0.547462642445791,1,2.36580995323346,0.421588610412534,"feces","Week 2"
"ASV471","cdiff",-0.415008493892055,0.512699685953267,1,2.49408319605409,-0.15524762412475,"feces","Week 2"
"ASV471","Intercept",-2.81659714842005,0.226779370794722,0.973927504831415,1.76358314077326,-1.65477187516899,"feces","Week 2"
"ASV471","la",-0.157849471008849,0.545511819912542,1,2.49408319605409,-0.0475058194054604,"feces","Week 2"
"ASV471","lg",0.85378949256919,0.528555440690901,1,2.49408319605409,0.415025907777145,"feces","Week 2"
"ASV48","cdiff",-0.267790968554033,0.40515695106685,0.994484476571278,1.87067012842463,-0.140992899596301,"feces","Week 2"
"ASV48","Intercept",-2.88330240263481,0.149056528727771,0.903932470810625,1.32276353317217,-2.27235403873062,"feces","Week 2"
"ASV48","la",-0.111774452420199,0.448106280008134,0.980544794316544,1.87067012842463,-0.0707875005082475,"feces","Week 2"
"ASV48","lg",12.6701774936386,0.000275847071557116,0.062603958800513,1.87067012842463,7.45365771680255,"feces","Week 2"
"ASV485","cdiff",-0.337326560104026,0.544190502192433,1,2.37878577551467,-0.175763793373991,"feces","Week 2"
"ASV485","Intercept",-2.87435789954417,0.213482914145275,0.980769089394284,1.68205555285652,-1.72834082069776,"feces","Week 2"
"ASV485","la",0.075904055452921,0.573526674000795,1,2.37878577551467,0.020237009243005,"feces","Week 2"
"ASV485","lg",1.11721806880121,0.497163274691315,1,2.37878577551467,0.517305942562282,"feces","Week 2"
"ASV487","cdiff",-0.442387726224487,0.538472270148847,1,2.45759443898856,-0.180238860598032,"feces","Week 2"
"ASV487","Intercept",-2.86419389883586,0.213385930998933,0.987854884946907,1.73778169321516,-1.68202181427616,"feces","Week 2"
"ASV487","la",-0.203943202334339,0.555870419178224,1,2.45759443898856,-0.0829749961739724,"feces","Week 2"
"ASV487","lg",0.968961508957895,0.54594831538542,1,2.45759443898856,0.442951275824552,"feces","Week 2"
"ASV49","cdiff",-0.843604982074323,0.378499370853152,1,1.03878508475162,-1.01690597076346,"feces","Week 2"
"ASV49","Intercept",8.44744081873898,3.52790295064773e-05,0.00898843478317606,0.734531977623311,14.4324185484507,"feces","Week 2"
"ASV49","la",-0.646427149693779,0.484359409431706,1,1.03878508475162,-0.775364419926464,"feces","Week 2"
"ASV49","lg",-12.0376652021123,3.9163169622911e-06,0.0010938883545785,1.03878508475162,-13.9271382997026,"feces","Week 2"
"ASV495","cdiff",-0.391875520875181,0.547534548120301,1,2.34818094948592,-0.207819707368283,"feces","Week 2"
"ASV495","Intercept",-2.87981946769458,0.190088121716004,0.982548110274703,1.66041467283456,-1.77198399766296,"feces","Week 2"
"ASV495","la",0.0582708034278657,0.550137979408977,1,2.34818094948592,0.0124439087359611,"feces","Week 2"
"ASV495","lg",1.62965434360036,0.490284384547582,0.997120200135012,2.34818094948592,0.749385229723461,"feces","Week 2"
"ASV5","cdiff",-1.83235225775768,0.515063974630286,1,2.60360519905931,-0.680556258723724,"feces","Week 2"
"ASV5","Intercept",8.56142371927588,0.00171039811336803,0.23292586310854,1.84102689178739,4.86955765922077,"feces","Week 2"
"ASV5","la",2.32690696404459,0.377351901786483,1,2.60360519905931,0.935417611904497,"feces","Week 2"
"ASV5","lg",-12.3572144674765,0.00150153765070492,0.20230059224069,2.60360519905931,-4.91623652252913,"feces","Week 2"
"ASV50","cdiff",-0.514148550531254,0.186484092483863,1,0.34124127666855,-1.53653532792236,"feces","Week 2"
